id|persona_id|cargo|fecha|fecha_final|activo|usercreated|usermodified|created_at|updated_at
850|679|Servicios de Salud Neurocirujano Clínica La Asunción Barranquilla|01/01/94|31/12/93|TRUE|NA|NA|2010-09-16 16:01:11|2010-09-16 16:01:11
851|679|Servicios de Salud Neurocirujano Clínica General del Norte Barranquilla|01/01/92|31/12/92|TRUE|NA|NA|2010-09-16 16:01:11|2010-09-16 16:01:11
852|679|Servicios de Salud Neurocirujano Sanatorio Lanus|01/01/92|31/12/92|TRUE|NA|NA|2010-09-16 16:01:11|2010-09-16 16:01:11
127|547|Otros Servicios Consejero Intendencial Periodos Constitucionales Consejo Intendencial|01/01/86|31/12/91|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-22 17:52:05
128|547|Otros Servicios Presidente del Consejo Intendencial de San Andres Y Providencia Consejo Intendencial De San Andr?S Y Providencia|01/01/88|31/12/89|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-22 17:52:05
129|547|Estatal Miembro de la Comisión del Archipielago de San Andrés ante la Asamblea Nal Constituyente Asamblea Nacional Constituyente|01/01/91|31/12/91|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-22 17:52:05
130|547|Estatal Director del Instituto de Seguros Sociales De San Andrés Islas Seguros Sociales|01/01/79|31/12/85|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-22 17:52:05
105|494|Telecomunicaciones Gerente Gerencia Teletolima|01/01/83|31/12/89|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-25 16:48:16
106|494|Otros Servicios Director Directorio Planeación De Ibague|01/01/72|31/12/73|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-25 16:48:16
107|494|Estatal Secretario Secretaría Planeación De Tolima|01/01/78|31/12/80|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-25 16:48:16
124|519|Estatal Asistente Senado|01/01/78|31/12/86|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-27 17:02:02
110|511|Estatal Diputado Asamblea Departamental del Huila|01/01/82|30/12/84|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 20:46:24
111|511|Educacion y Conocimiento Vicepresidente Confederación de Educadores Americanos|01/01/92|30/12/94|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 20:46:24
112|511|Educacion y Conocimiento Miembro Fondo Nacional de Prestaciones Sociales del Magisterio|01/01/90|30/12/94|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 20:46:24
115|511|Estatal Vicepresidente Senado de la Republica|20/07/99|20/07/00|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 20:46:24
225|843|Estatal Director (Villeta) Corporación Autónoma CAR|01/01/95|31/12/97|TRUE|NA|NA|2010-01-17 17:35:00|2010-05-05 15:21:23
226|843|Estatal Revisor Fiscal Contraloría Cundinamarca|01/01/78|31/12/82|TRUE|NA|NA|2010-01-17 17:35:00|2010-02-05 16:35:01
568|1618|Estatal Asistente de la Gerencia General INURBE|01/11/90|01/11/91|TRUE|NA|NA|2010-02-09 00:00:29|2010-02-09 00:00:29
569|1618|Educacion y Conocimiento Consultura e Investigadora UNESCO|30/06/98|30/06/04|TRUE|NA|NA|2010-02-09 00:00:33|2010-02-09 00:00:33
166|623|Estatal Secretario Gobierno Gobernación del Meta|01/01/82|31/12/83|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:05:58
258|87|Otros Servicios Consultora En Salud, Programa de Mejoramiento. Banco Interamericano de Desarrollo - Bid|01/01/99|01/06/99|TRUE|NA|NA|2010-01-17 17:35:00|2010-05-10 20:43:40
259|87|Estatal Senadora Senado de la República|01/01/02|01/12/06|TRUE|NA|NA|2010-01-17 17:35:00|2010-04-07 17:03:50
261|87|Estatal Alcaldesa Alcaldía de Guacarí|01/01/92|31/12/94|TRUE|NA|NA|2010-01-17 17:35:00|2010-04-07 17:03:50
262|87|Estatal Secretaria de Salud Departamental Gobernación del Valle Del Cauca|01/01/95|31/12/97|TRUE|NA|NA|2010-01-17 17:35:00|2010-05-10 20:43:40
156|601|Servicios de Salud Médico General Clínica ISS Santa Gertrudis de Envigado Antioquia|01/08/89|01/06/90|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:13:24
157|601|Servicios de Salud Médico Rural y Director (E) Hospital Girardota Antioquia|01/08/87|31/08/88|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:13:24
502|249|Servicios de Salud Secretario de Salud Gobernación del Magdalena|01/01/96|31/12/97|TRUE|NA|NA|2010-01-30 20:41:15|2010-01-30 20:41:15
515|1624|Medio Ambiente Director General CORPONOR|01/01/04|31/12/06|TRUE|NA|NA|2010-02-02 22:52:58|2010-02-02 22:52:58
516|1624|Medio Ambiente Gerente Plan Nacional de Desarrollo Forestal|01/02/02|30/12/02|TRUE|NA|NA|2010-02-02 22:52:58|2010-02-02 22:52:58
517|1624|Educacion y Conocimiento Rector, Vicerrector, Decano y Profesor Universidad Distrital|02/11/83|31/05/99|TRUE|NA|NA|2010-02-02 22:52:58|2010-02-02 22:52:58
57|7|Estatal Director Valorización Municipio de Armenia|11/12/86|21/12/87|TRUE|NA|NA|2010-01-17 17:34:58|2010-04-30 20:12:51
538|1446|Textiles y Confecciones Presidente Lizarazo Felpas|1001-10-16|31/10/05|TRUE|NA|NA|2010-02-04 15:36:44|2010-02-04 15:36:44
570|1618|Estatal Asesora Secretaria de Integración Social Bogotá|01/04/08|01/08/09|TRUE|NA|NA|2010-02-09 00:00:33|2010-02-09 00:00:33
158|601|Servicios de Salud Medico Rural Municipio de Girardota Antioquia|01/08/87|01/08/88|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:13:24
147|591|Estatal Viceministro Ministerio de Gobierno|01/01/90|31/12/91|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:19:22
295|1063|Otros Servicios Gerente Lsa Andina de Chile S.A|01/10/03|31/03/04|TRUE|NA|NA|2010-01-17 17:35:01|2010-05-20 22:09:28
543|1419|Estatal Asesora diseño arreglo institucional Agenda Interna de Competitividad BOT Ltda. Consultores  – PNUD|02/01/06|29/06/06|TRUE|NA|NA|2010-02-04 16:32:09|2010-02-04 16:32:09
544|1419|Estatal Investigadora “Diseño de una propuesta de competitividad para cuatro regiones del departamento Cundinamarca” Centro de Estudios para el Desarrollo Económico. Universidad de los Andes|01/03/04|30/06/04|TRUE|NA|NA|2010-02-04 16:32:09|2010-02-04 16:32:09
546|1419|Estatal Colsultora Fundación Ideas para la Paz – Fundación Ford. BOGOTA - USAID|03/08/04|23/08/05|TRUE|NA|NA|2010-02-04 16:32:09|2010-02-04 16:32:09
545|1419|Estatal Directora “Diseño de un sistema de instrumentos e incentivos para el desarrollo empresarial y la creación de empresas” DAPD Universidad de los Andes. Centro de Estudios para el Desarrollo Económico.|02/02/04|23/09/04|TRUE|NA|NA|2010-02-04 16:32:09|2010-02-04 16:42:08
148|591|Estatal Ministro Ministerio Justicia|01/01/91|31/12/94|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:19:22
149|591|Estatal Gobernador Gobernación de Cundinamarca|01/01/91|31/12/92|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:19:22
169|289|Otros Servicios Indefinido Fenalco Risaralda|01/01/88|31/12/90|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-03 21:40:04
170|289|Estatal Secretario Secretaría de Gobierno de Risaralda|01/01/80|31/12/81|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-03 21:40:04
180|706|Estatal Alcalde Municipal de Armenia Departamento del Quindío|29/08/83|08/09/84|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-04 18:41:12
181|706|Estatal Director de Valorización Departamental Departamento del Quindío|11/07/80|23/07/81|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-04 18:41:12
150|591|Estatal Asesor Presidencia de la República|01/01/79|31/12/82|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:19:22
151|591|Estatal Secretario de Educación Gobernación de Cundinamarca|01/01/82|31/12/83|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:19:22
145|582|Estatal Ministro de Transporte Ministerio de Transporte|01/01/94|31/12/96|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-19 16:24:29
162|612|Otros Servicios Presidenta Comité Intergremial de Caldas|26/05/96|27/06/97|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-03 20:33:54
75|441|Estatal Directora Ejecutiva (Organización y Coordinación Campaña Alvaro Uribe Vélez) Asociación Primero Colombia|01/09/00|06/07/01|TRUE|NA|NA|2010-01-17 17:34:58|2010-04-08 21:57:58
364|1234|Estatal Ministra Ministerio de Comercio Exterior|01/08/98|15/06/02|TRUE|NA|NA|2010-01-17 17:35:01|2010-05-24 21:58:00
164|615|Estatal Subdirector Administrativo Y Financiero Incomex|04/01/82|03/12/85|TRUE|NA|NA|2010-01-17 17:34:59|2010-02-09 19:48:04
582|1805|Articulos de hogar, oficina, hoteles y hospitales Presidente Industrias Spring|05/02/79|11/02/10|TRUE|NA|NA|2010-02-11 18:36:07|2010-02-11 18:36:07
365|1234|Estatal Ministra Ministerio de Defensa|01/08/02|10/11/03|TRUE|NA|NA|2010-01-17 17:35:01|2010-05-24 21:58:00
366|1234|Estatal Embajadora De Colombia En Francia Ministerio de Relaciones Exteriores|01/02/02|25/07/02|TRUE|NA|NA|2010-01-17 17:35:01|2010-05-24 21:58:00
853|679|Servicios de Salud Neurocirujano Hospital Eva Perón|01/01/90|01/01/92|TRUE|NA|NA|2010-09-16 16:01:11|2010-09-16 16:01:11
368|1234|Otros Servicios Presidenta Ejecutiva Invercolsa|01/01/97|30/06/98|TRUE|NA|NA|2010-01-17 17:35:01|2010-02-05 15:35:33
183|721|Otros Servicios Representante a la Camara Cámara de Representantes|07/01/02|22/12/06|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-04 19:00:21
219|834|Estatal Secretario Privado Gobernación de Antioquia|15/11/95|20/10/97|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-25 21:57:54
220|834|Estatal Vicepresidente Federación Colombiana de Municipios|22/04/92|08/05/94|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-25 21:57:54
221|834|Estatal Secretario Departamental de Desarrollo Gobernación de Antioquia|22/04/90|20/10/91|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-25 21:57:54
193|793|Estatal Asesora de la Representante María Isabel Rueda Cámara de Representantes|01/01/98|31/12/00|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-26 16:45:02
184|756|Otros Servicios Vicepresidente Administrativo Coltefinanciera S.A.|05/09/96|31/07/97|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-26 17:21:16
185|756|Estatal Subjefe de Gabinete y Asesor Especial del Secretario General Organización de los Estados Américanos O.E.A|12/11/94|12/07/96|TRUE|NA|NA|2010-01-17 17:34:59|2010-05-04 20:07:25
186|756|Estatal Subsecretario General Presidencia de la Répública de Colombia|01/01/93|06/08/94|TRUE|NA|NA|2010-01-17 17:34:59|2010-01-26 17:21:16
187|756|Estatal Director Regional Instituto Colombiano de Bienestar Famliar|01/12/86|06/11/88|TRUE|NA|NA|2010-01-17 17:34:59|2010-09-14 19:25:52
76|441|Estatal Asesora del Subsecretario General Presidencia de la República|01/11/90|01/08/91|TRUE|NA|NA|2010-01-17 17:34:58|2010-04-08 21:57:58
222|842|Otros Servicios Gerente Caja de Previsión Departamental - Boyacá|10/06/78|01/11/79|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-26 19:35:56
223|842|Estatal Director Coldeportes Boyacá|10/02/76|20/04/77|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-26 19:35:56
224|842|Estatal Gerente Instituto Nacional de Tránsito de Boyacá|01/06/82|20/11/83|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-26 19:35:56
208|814|Otros Servicios Consultor Internacional Chemonics International Inc|01/01/00|31/12/00|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-27 16:17:00
209|814|Estatal Secretario General Ministerio de Agricultura|01/01/87|31/12/88|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-27 16:17:00
210|814|Estatal Gerente General Centro de Convenciones Gonzalo Jimenez De Quesada - Proexpo|01/01/86|31/12/87|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-27 16:17:00
211|814|Estatal Director Adminstrativo Ministerio de Desarrollo Economico|01/01/85|31/12/86|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-27 16:17:00
212|814|Estatal Director Administrativo Ministerio de Desarrollo y Agricultura|01/01/83|31/12/85|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-27 16:17:00
213|814|Estatal Agente Fiscal Del Departamento Del Cesar En Bogot Gobernación del  Departamento Del Cesar|01/01/82|31/12/83|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-27 16:17:00
214|814|Estatal Secretario General Y Subdirector Nacinal De Personal ISS|01/01/91|31/12/92|TRUE|NA|NA|2010-01-17 17:35:00|2010-05-25 16:12:49
215|814|Estatal Auditor Operativo Nacional Idema|01/01/88|31/12/90|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-27 16:17:00
216|814|Estatal Director General DRI|01/01/92|31/12/94|TRUE|NA|NA|2010-01-17 17:35:00|2010-05-25 16:12:49
218|814|Otros Servicios Asesor De La Unidad Para La Promoci?N De La Democracia OEA|01/07/01|31/12/01|TRUE|NA|NA|2010-01-17 17:35:00|2010-05-25 16:12:49
204|809|Otros Servicios Gerente Regional de Seguros, Gerente de Ventas, Revisor Fiscal,Director Comercial de Seguros Seguros Universal,Colseguros, La Nacional De Seguros, Provica|03/11/73|10/09/90|TRUE|NA|NA|2010-01-17 17:35:00|2010-05-04 22:06:47
