id,proyecto_id,anio,cod_sentencia,num_sentencia,tipo_caso_id,id_norma,titulo_norma,mas_normas,otras_normas,numero_camara,numero_senado,tipo_demanda_id,oficio,fecha_norma
4125,NA,2004,C307,307,1,Proyecto de Ley número 081/02 Senado y 228/03 Cámara,“Por medio de la cual se establece un mecanismo de inscripción y votación para garantizar el libre ejercicio de este derecho en desarrollo del artículo 258 de la Constitución Nacional”.,TRUE,9999,228/03,081/02,9,TRUE,2003-06-20
4126,NA,2005,C1081,1081,1,Acto Legislativo 01 de 2003,Por medio de cual se regula el artículo 12 del Acto Legislativo No. 01 de 2003,TRUE,9999,9999,9999,9,TRUE,2003-07-25
4127,NA,2005,C1153,1153,1,"PROYECTO DE LEY ESTATUTARIA N° 216/05 SENADO, N° 235-CÁMARA","Por medio de la cual se reglamenta la elección de Presidente de la República, de conformidad con el artículo 152 literal f) de la Constitución Política de Colombia, y de acuerdo con lo establecido en el Acto Legislativo 02 de 2004, y se dictan otras disposiciones",TRUE,9999,235 de 2005,216 de 2005,3,TRUE,2005-06-22
4128,NA,2005,C473,473,1,"proyecto de ley estatutaria número 065 de 2003 Senado, 197 de 2003 Cámara",POR MEDIO DE LA CUAL SE REGLAMENTA EL MECANISMO DE BÚSQUEDA URGENTE Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,197/03,065/03,9,TRUE,2003-10-08
4129,NA,2005,C523,523,1,Decreto Ley 2207 de 2003,"Por medio del cual se desarrolla el artículo 3 del Acto Legislativo 01 de julio 3 de 2003, en lo concerniente a las elecciones departamentales y municipales",TRUE,9999,9999,9999,9,TRUE,2003-08-05
4130,NA,2005,C672,672,1,Decreto 2637 de 2004,Por el cual se desarrolla el Acto Legislativo número 03 de 2002,TRUE,Decreto 2697 de 2004,9999,9999,9,TRUE,2004-08-19
4131,NA,2006,C238,238,1,"PROYECTO DE LEY ESTATUTARIA NO. 285 DE 2005 SENADO, 129 DE 2004 CÁMARA",POR MEDIO DE LA CUAL SE REGLAMENTA EL VOTO DE EXTRANJEROS RESIDENTES EN COLOMBIA,TRUE,9999,9999,9999,9,TRUE,2005-02-03
4132,NA,2006,C665,665,1,DECRETO 4766 DE 2005,POR EL CUAL SE REGLAMENTA LA CIRCUNSCRIPCIÓN INTERNACIONAL PARA LA CÁMARA DE REPRESENTANTES,TRUE,9999,9999,9999,9,TRUE,2005-12-30
4133,NA,1998,C543,543,2,ACTO LEGISLATIVO NUMERO 01 DE 1997,POR EL CUAL SE MODIFICA EL ARTÍCULO 35 DE LA CONSTITUCIÓN POLÍTICA,TRUE,9999,9999,9999,2,TRUE,1997-12-16
4134,NA,2002,C487,487,2,Acto Legislatio 001 de 2001,Por medio del cual se modifican algunos artículos de la Constitución Política (TRASFERENCIAS),TRUE,9999,120/00,12/00,1,TRUE,2001-07-30
4135,NA,2002,C614,614,2,"ACTO LEGISLATIVO 01 DE 2001

 

","por medio del cual se modifican algunos artículos de la Constitución Política.

 

",TRUE,9999,9999,9999,2,TRUE,2001-08-30
4136,NA,2002,C692,692,2,Acto Legislativo No. 01 de 2001,Por medio del cual se modifican algunos artículos de la Constitución Política,TRUE,9999,9999,9999,1,TRUE,2001-07-30
4137,NA,2003,C1092,1092,2,ACTO LEGISLATIVO 03 DE 2002,"por el cual se reforma la Constitución Nacional. 

 

",TRUE,9999,9999,9999,2,TRUE,2002-12-19
4138,NA,2003,C1200,1200,2,ACTO LEGISLATIVO 03 DE 2002,POR EL CUAL SE REFORMA LA CONSTITUCIÓN NACIONAL,TRUE,9999,9999,9999,1,TRUE,2002-12-19
4139,NA,2003,C966,966,2,ACTO LEGISLATIVO 03 DE 2002,POR EL CUAL SE REFORMA LA CONSTITUCIÓN NACIONAL,TRUE,9999,9999,9999,2,TRUE,2002-12-19
4140,NA,2004,C013,013,2,Decreto 03 de 2002,Por el cual se reforma la Constitución Nacional,TRUE,9999,237/02,12/02,1,TRUE,2002-12-19
4141,NA,2004,C1000,1000,2,ACTO LEGISLATIVO 01 DE 2004,Acto Legislativo 01 de 2004,TRUE,9999,9999,9999,1,TRUE,2004-01-07
4142,NA,2004,C1039,1039,2,ACTO LEGISLATIVO 03 DE 2004,Por el cual se reforma la Constitución Nacional,TRUE,9999,9999,9999,1,TRUE,2003-12-19
4143,NA,2004,C1121,1121,2,ACTO LEGISLATIVO 01 DE 2004,Acto Legislativo 01 de 2004,TRUE,9999,9999,9999,1,TRUE,2004-01-07
4144,NA,2004,C1124,1124,2,"ACTO LEGISLATIVO 01
(3 DE JULIO 2003)
",POR EL CUAL SE ADOPTA UNA REFORMA POLÍTICA CONSTITUCIONAL Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,2003-07-03
4145,NA,2004,C1173,1173,2,Acto Legislativo Nro. 001 del 7 de enero de 2004.,Pérdida de Derechos Políticos,TRUE,9999,9999,9999,3,TRUE,2004-01-07
4146,NA,2004,C313,313,2,ACTO LEGISLATIVO 01 DE 2003,POR EL CUAL SE ADOPTA UNA REFORMA POLÍTICA CONSTITUCIONAL Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,2003-07-03
4147,NA,2004,C372,372,2,Acto Legislativo No. 01 de 2003,"""por el cual se adopta una Reforma Política Constitucional y se dictan otras disposiciones"".",TRUE,9999,9999,9999,1,TRUE,2003-07-03
4148,NA,2004,C463,463,2,Acto Legislativo No. 01 de 2003,"""por el cual se adopta una Reforma Política Constitucional y se dictan otras disposiciones"".",TRUE,9999,9999,9999,1,TRUE,2003-07-03
4149,NA,2004,C572,572,2,ACTO LEGISLATIVO 01 DE 2003,"POR EL CUAL SE ADOPTA UNA REFORMA POLÍTICA CONSTITUCIONAL Y SE DICTAN OTRAS DISPOSICIONES. 
EL CONGRESO DE COLOMBIA
",TRUE,9999,9999,9999,2,TRUE,2003-07-03
4150,NA,2004,C668,668,2,Acto Legislativo No. 01 de 2003,"""por el cual se adopta una Reforma Política Constitucional y se dictan otras disposiciones"".",TRUE,9999,9999,9999,3,TRUE,2003-07-03
4151,NA,2004,C757,757,2,ACTO LEGISLATIVO 01 DE 2003,POR EL CUAL SE ADOPTA UNA REFORMA POLÍTICA CONSTITUCIONAL Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,2003-07-03
4152,NA,2004,C888,888,2,ACTO LEGISLATIVO 03 DE 2002,Por el cual se reforma la Constitución Nacional,TRUE,9999,9999,9999,1,TRUE,2002-12-19
4153,NA,2004,C970,970,2,ACTO LEGISLATIVO 03 DE 2002,POR EL CUAL SE REFORMA LA CONSTITUCIÓN POLÍTICA,TRUE,9999,9999,9999,2,TRUE,2002-12-19
4154,NA,2004,C971,971,2,Acto Legislativo No. 01 de 2003,Por el cual se adopta una Reforma Política Constitucional y se dictan otras disposiciones,TRUE,9999,9999,9999,3,TRUE,2003-07-03
4155,NA,2004,C973,973,2,ACTO LEGISLATIVO 1 DE 2004,Pérdida de Derechos Políticos,TRUE,9999,9999,9999,2,TRUE,2004-01-07
4156,NA,2005,C1040,1040,2,ACTO LEGISLATIVO NO. 2 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES.,TRUE,9999,9999,9999,3,TRUE,2004-12-27
4157,NA,2005,C1041,1041,2,ACTO LEGISLATIVO NO. 02 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,2004-12-27
4158,NA,2005,C1042,1042,2,ACTO LEGISLATIVO 02 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,2004-12-27
4159,NA,2005,C1043,1043,2,Acto Legislativo No. 02 de 2004,Por el cual se reforman algunos artículos de la Constitución Política y se dictan otras disposiciones,TRUE,9999,9999,9999,1,TRUE,2004-12-27
4160,NA,2005,C1044,1044,2,Acto Legislativo 02 de 2004,Por el cual se reforman algunos artículos de la Constitución Política de Colombia y se dictan otras disposiciones.,TRUE,9999,9999,9999,1,TRUE,2004-12-27
4161,NA,2005,C1045,1045,2,ACTO LEGISLATIVO 02 DE 2004,Por el cual se reforman algunos artículos de la Constitución Política de Colombia y se dictan otras disposiciones,TRUE,9999,9999,9999,2,TRUE,2004-12-27
4162,NA,2005,C1046,1046,2,ACTO LEGISLATIVO 2 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES.,TRUE,9999,9999,9999,3,TRUE,2004-12-27
4163,NA,2005,C1047,1047,2,Acto Legislativo No.02 de 2004,"“por el cual se reforman algunos artículos de la Constitución Política de Colombia y se dictan otras disposiciones.”

 

",TRUE,9999,9999,9999,1,TRUE,2004-12-27
4164,NA,2005,C1048,1048,2,ACTO LEGISLATIVO 02 DE 2004,Por el cual se reforman algunos artículos de la Constitución Política de Colombia y se dictan otras disposiciones.,TRUE,9999,9999,9999,1,TRUE,2004-12-27
4165,NA,2005,C1049,1049,2,Acto Legislativo 02 de 2004,Por el cual se reforman algunos artículos de la Constitución Política y se dictan otras disposiciones,TRUE,9999,226/04,8/04,1,TRUE,2004-12-27
4166,NA,2005,C1050,1050,2,"Acto Legislativo 02 de 2004. 
","por el cual se reforman algunos artículos de la Constitución Política de Colombia y se dictan otras disposiciones. 

 

",TRUE,9999,9999,9999,2,TRUE,2004-12-27
4167,NA,2005,C1051,1051,2,ACTO LEGISLATIVO 02 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,2004-12-27
4168,NA,2005,C1052,1052,2,ACTO LEGISLATIVO NO. 02 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,2004-12-27
4169,NA,2005,C1053,1053,2,ACTO LEGISLATIVO 02 DE 2004,"POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS 
DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES
",TRUE,9999,9999,9999,2,TRUE,2004-12-27
4170,NA,2005,C1054,1054,2,Acto Legislativo 02 de 2004,Por el cual se reforman algunos artículos de la Constitución Política y se dictan otras disposiciones,TRUE,9999,9999,9999,2,TRUE,2004-12-27
4171,NA,2005,C1055,1055,2,Acto Legislativo 02 de 2004,Por el cual se reforman algunos artículos de la Constitución Política de Colombia y se dictan otras disposiciones.,TRUE,9999,9999,9999,1,TRUE,2004-12-27
4172,NA,2005,C1056,1056,2,ACTO LEGISLATIVO 02 DE 2004,por el cual se reforman algunos artículos de la Constitución Política de Colombia y se dictan otras disposiciones,TRUE,9999,9999,9999,2,TRUE,2004-12-27
4173,NA,2005,C1057,1057,2,ACTO LEGISLATIVO 2 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,3,TRUE,2004-12-27
4174,NA,2005,C155,155,2,REGLAMENTO 01 DE 2003,POR MEDIO DE LA CUAL SE REGULA EL ARTÍCULO 12 DEL ACTO LEGISLATIVO N° 01 DE 2003,TRUE,9999,9999,9999,2,TRUE,2003-07-03
4175,NA,2005,C208,208,2,ACTO LEGISLATIVO 1 DE 2003,POR EL CUAL SE ADOPTA UNA REFORMA POLÍTICA CONSTITUCIONAL Y SE DICTAN OTRAS DISPOSICIONES.,TRUE,9999,9999,9999,3,TRUE,2003-07-03
4176,NA,2005,C242,242,2,Acto Legislativo No. 01 de 2003,POR EL CUAL SE ADOPTA UNA REFORMA POLÍTICA CONSTITUCIONAL Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,2003-07-03
4177,NA,2005,C332,332,2,Acto Legislativo 01 de 2003,por el cual se adopta una Reforma Política Constitucional y se dictan otras disposiciones.,TRUE,9999,9999,9999,1,TRUE,2003-07-03
4178,NA,2005,C786,786,2,Acto Legislativo 01 de 2003,Por el cual se adopta una Reforma Política Constitucional y se dictan otras disposiciones,TRUE,9999,136/02,01/02,1,TRUE,2003-07-03
4179,NA,2006,C034,034,2,ACTO LEGISLATIVO 02 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,3,TRUE,2004-12-27
4180,NA,2006,C174,174,2,ACTO LEGISLATIVO NO. 02 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,2004-12-27
4181,NA,2006,C181,181,2,ACTO LEGISLATIVO 01 DE 2005,POR EL CUAL SE ADICIONA EL ARTÍCULO 48 DE LA CONSTITUCIÓN POLÍTICA,TRUE,9999,9999,9999,3,TRUE,2005-07-22
4182,NA,2006,C278,278,2,ACTO LEGISLATIVO 02 DE 2004,POR EL CUAL SE REFORMAN ALGUNOS ARTÍCULOS DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES.,TRUE,9999,9999,9999,2,TRUE,2004-12-27
4183,NA,2006,C337,337,2,"ACTO LEGISLATIVO 01 DE 2005
","Por el cual se adiciona el artículo 48 de la Constitución Política.

 

",TRUE,9999,9999,9999,2,TRUE,2005-07-22
4184,NA,2006,C472,472,2,ACTO LEGISLATIVO 1 DE 2005,Por el cual se adiciona el artículo 48 de la Constitución Política,TRUE,9999,9999,9999,2,TRUE,2005-07-22
4185,NA,2006,C740,740,2,Acto Legislativo 01 de 2005,Por el cual se adiciona el artículo 48 de la Constitución Política.,TRUE,9999,34/04,11/04,2,TRUE,2005-07-22
4186,NA,2006,C986,986,2,Acto Legislativo 01 de 2005,Por el cual se adiciona el artículo 48 de la Constitución Política,TRUE,9999,9999,9999,1,TRUE,2005-07-22
4187,NA,1998,C002,002,5,Ley 321 de 1996,"""Por la cual se fijan condiciones para la administración de la cuota de fomento cacaotero, establecida por las leyes 31 de 1965 y 67 de 1983.

",TRUE,9999,9999,9999,2,TRUE,1996-10-04
4188,NA,1998,C003,003,5,LEY 564 DE 1945,Por la cual se reforma y adiciona la Ley 6a de 1945 y se dictan otras disposiciones de carácter social,TRUE,9999,9999,9999,3,TRUE,1946-12-20
4189,NA,1998,C004,004,5,LEY 95 DE 1890,Sobre reformas civiles,TRUE,9999,9999,9999,2,TRUE,1890-12-02
4190,NA,1998,C005,005,5,ley 223 de 1995,"""Por la cual se expiden normas sobre racionalización tributaria y se dictan otras disposiciones"", que modificó el artículo 589 del Estatuto Tributario.""",TRUE,9999,9999,9999,2,TRUE,1995-12-20
4191,NA,1998,C006,006,5,LEY 223 DE 1995,POR LA CUAL SE EXPIDEN NORMAS SOBRE RACIONALIZACIÓN TRIBUTARIA Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,1995-12-20
4192,NA,1998,C007,007,5,LEY 177 DE 1994,por el cual se modifica la Ley 136 de 1994 y se dictan otras disposiciones,TRUE,9999,9999,9999,2,TRUE,1994-12-28
4193,NA,1998,C014,014,5,LEY 54 DE 1990,POR LA CUAL SE DEFINEN LAS UNIONES MARITALES DE HECHO Y RÉGIMEN PATRIMONIAL ENTRE COMPAÑEROS PERMANENTES,TRUE,9999,9999,9999,2,TRUE,1990-12-28
4194,NA,1998,C015,015,5,LEY 344 DE 1996,"POR LA CUAL SE DICTAN NORMAS TENDIENTES A LA RACIONALIZACIÓN DEL GASTO PÚBLICO, SE CONCEDEN UNAS FACULTADES EXTRAORDINARIAS Y SE EXPIDEN OTRAS DISPOSICIONES.",TRUE,9999,9999,9999,2,TRUE,1996-12-27
4195,NA,1998,C017,017,5,LEY 344 DE 1996,"Por la cual se dictan normas tendientes a la racionalización del gasto público, se conceden unas facultades extraordinarias y se expiden otras disposiciones",TRUE,9999,9999,9999,2,TRUE,1996-12-27
4196,NA,1998,C043,043,5,Ley 336 de 1996,Por la cual se adopta el Estatuto Nacional de Transporte.,TRUE,9999,9999,9999,3,TRUE,1996-12-20
4197,NA,1998,C044,044,5,Ley 200 de 1995,Por la cual se adopta el Código Disciplinario Único,TRUE,9999,9999,9999,2,TRUE,1995-06-28
4198,NA,1998,C045,045,5,LEY 344 DE 1996,"POR LA CUAL SE DICTAN NORMAS TENDIENTES A LA RACIONALIZACIÓN DEL GASTO PÚBLICO, SE CONCEDEN UNAS FACULTADES EXTRAORDINARIAS Y SE EXPIDEN OTRAS DISPOSICIONES.",TRUE,9999,9999,9999,2,TRUE,1996-12-27
4199,NA,1998,C054,054,5,Ley 100 de 1993,Por la cual se crea el sistema de seguridad social integral y se dictan otras disposiciones,TRUE,9999,204/91,155/92,2,TRUE,1993-12-23
4200,NA,1998,C057,057,5,LEY 200 DE 1995,POR LA CUAL SE ADOPTA EL CÓDIGO DISCIPLINARIO UNICO,TRUE,9999,9999,9999,2,TRUE,1995-07-28
4201,NA,1998,C058,058,5,LEY 100 DE 1993,“POR LA CUAL SE CREA EL SISTEMA DE SEGURIDAD SOCIAL INTEGRAL Y SE DICTAN OTRAS DISPOSICIONES”,TRUE,9999,9999,9999,2,TRUE,1993-12-23
4202,NA,1998,C060,060,5,Ley 330 de 1996,Por la cual se desarrolla parcialmente el artículo 308 de la Constitución Política y. se dictan otras disposiciones relativas a las Contralorías Departamentales,TRUE,9999,9999,9999,3,TRUE,1996-12-11
4203,NA,1998,C061,061,5,LEY 344 DE 1996,"Por la cual se dictan normas tendientes a la racionalización del gasto público, se conceden unas facultades extraordinarias y se expiden otras disposiciones",TRUE,9999,9999,9999,2,TRUE,1996-12-27
4204,NA,1998,C063,063,5,Ley 223 de 1995,"por la cual se expiden normas sobre Racionalización Tributaria y se dictan otras disposiciones.

 

 

",TRUE,9999,9999,9999,2,TRUE,1995-12-20
4205,NA,1998,C064,064,5,LEY 140 DE 1994,Por la cual se reglamenta la Publicidad Exterior Visual en el territorio nacional,TRUE,9999,9999,9999,3,TRUE,1994-06-23
4206,NA,1998,C065,065,5,Ley 366 de 1997,"Por la cual se regula la liquidación, retención, recaudo, distribución y transferencias de las rentas originadas en la explotación de metales preciosos y se dictan otras disposiciones",TRUE,9999,139/95,129/94,1,TRUE,1997-03-12
4207,NA,1998,C085,085,5,Ley 273 de 1996,"“Por la cual se modifica el Reglamento del Congreso en cuanto al juzgamiento de altos funcionarios”

",TRUE,9999,9999,9999,2,TRUE,1996-03-22
4208,NA,1998,C086,086,5,LEY NÚMERO 286 DE 1996,"POR LA CUAL SE MODIFICAN PARCIALMENTE LAS LEYES 142 Y 143 DE 1994""",TRUE,9999,9999,9999,2,TRUE,1996-07-03
4209,NA,1998,C087,087,5,LEY 51 DE 1975,POR LA CUAL SE REGLAMENTA EL EJERCICIO DEL PERIODISMO Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,1975-12-18
4210,NA,1998,C089,089,5,LEY 352 DE 1997,POR LA CUAL SE REESTRUCTURA EL SISTEMA DE SALUD Y SE DICTAN OTRAS DISPOSICIONES EN MATERIA DE SEGURIDAD SOCIAL PARA LAS FUERZAS MILITARES Y LA POLICÍA NACIONAL,TRUE,9999,9999,9999,2,TRUE,1997-01-17
4211,NA,1998,C094,094,5,LEY 223 DE 1995,Por la cual se expiden normas sobre Racionalización Tributaria y se dictan otras disposiciones,TRUE,9999,9999,9999,3,TRUE,1995-12-20
4212,NA,1998,C095,095,5,Ley 200 de 1995,por la cual se adopta el Código Disciplinario Unico,TRUE,9999,215/95,146/95,2,TRUE,1995-07-28
4213,NA,1998,C110,110,5,LEY 330 DE 1996,POR LA CUAL SE DESARROLLA PARCIALMENTE EL ARTÍCULO 308 DE LA CONSTITUCIÓN POLÍTICA Y SE DICTAN OTRAS DISPOSICIONES RELATIVAS A LAS CONTRALORÍAS DEPARTAMENTALES,TRUE,9999,9999,9999,2,TRUE,1996-12-11
4214,NA,1998,C112,112,5,LEY 100 DE 1993,“POR LA CUAL SE CREA EL SISTEMA DE SEGURIDAD SOCIAL INTEGRAL Y SE DICTAN OTRAS DISPOSICIONES”,TRUE,9999,9999,9999,2,TRUE,1993-12-23
4215,NA,1998,C113,113,5,LEY 49 DE 1990,"POR LA CUAL SE REGLAMENTA LA REPATRIACIÓN DE CAPITALES, SE ESTIMULA EL MERCADO ACCIONARIO, SE EXPIDEN NORMAS EN MATERIA TRIBUTARIA, ADUANERA Y SE DICTAN OTRAS DISPOSICIONES",TRUE,9999,9999,9999,2,TRUE,1990-12-28
4216,NA,1998,C114,114,5,Ley 136 de 1994,Por la cual se dictan normas tendientes a modernizar la organización y el funcionamiento de los municipios,TRUE,9999,9999,9999,3,TRUE,1994-06-02
4217,NA,1998,C126,126,5,LEY 23 DE 1973,POR LA CUAL SE CONCEDEN FACULTADES EXTRAORDINARIAS AL PRESIDENTE DE LA REPÚBLICA PARA EXPEDIR EL CÓDIGO DE RECURSOS NATURALES Y DE PROTECCIÓN AL MEDIO AMBIENTE Y SE DICTAN OTRAS DISPOSICIONES,TRUE,9999,9999,9999,2,TRUE,1973-12-19
4218,NA,1998,C127,127,5,Ley 9 de 1989,"Por la cual se dictan normas sobre Planes de Desarrollo Municipal, Compraventa y Expropiación de Bienes y se dictan otras disposiciones.
",TRUE,Ley 388 de 1997,9999,9999,2,TRUE,1989-01-11
4219,NA,1998,C128,128,5,LEY 6 DE 1992,"Por la cual se expiden normas en materia tributaria, se otorgan facultades para emitir títulos de deuda pública interna, se dispone un ajuste de pensiones del sector público nacional y se dictan otras disposiciones",TRUE,9999,9999,9999,3,TRUE,1992-06-30
4220,NA,1998,C129,129,5,Ley 332 de 1996,Por la cual se modifica la Ley 4ª de 1992 y se dictan otras disposiciones,TRUE,9999,175/96,102/96,2,TRUE,1996-12-19
4221,NA,1998,C130,130,5,Ley 218 de 1995,"por la cual se modifica el Decreto 1264 del 21 de junio de 1994, proferido en desarrollo de la emergencia declarada mediante Decreto 1178 del 9 de junio de 1994, y se dictan otras disposiciones

",TRUE,9999,9999,9999,3,TRUE,1995-11-17
5113,NA,2003,C033,033,5,Ley 600 de 2000,por la cual se expide el Código de Procedimiento Penal,TRUE,9999,9999,9999,2,TRUE,2000-07-24
4222,NA,1998,C140,140,5,LEY 344 DE 1996,"POR LA CUAL SE DICTAN NORMAS TENDIENTES A LA RACIONALIZACIÓN DEL GASTO PÚBLICO, SE CONCEDEN UNAS FACULTADES EXTRAORDINARIAS Y SE EXPIDEN OTRAS DISPOSICIONES",TRUE,DECRETO 1670 DE 1997,9999,9999,2,TRUE,1996-12-27
4223,NA,1998,C146,146,5,LEY 6 DE 1945,"POR LA CUAL SE DICTAN ALGUNAS DISPOSICIONES SOBRE CONVENCIONES DE TRABAJO, ASOCIACIONES PROFESIONALES, CONFLICTOS COLECTIVOS Y JURISDICCIÓN ESPECIAL DEL TRABAJO.",TRUE,LEY 33 DE 1985; LEY 4ª DE 1966,9999,9999,2,TRUE,1945-02-19
4224,NA,1998,C147,147,5,Ley 330 de 1996,Por la cual se desarrolla parcialmente el artículo 308 de la Constitución Política y. se dictan otras disposiciones relativas a las Contralorías Departamentales,TRUE,9999,9999,9999,3,TRUE,1996-12-11
4225,NA,1998,C155,155,5,LEY 397 DE 1997,"POR LA CUAL SE DESARROLLAN LOS ARTÍCULOS 70, 71 Y 72 Y DEMÁS ARTÍCULOS CONCORDANTES DE LA CONSTITUCIÓN POLÍTICA Y SE DICTAN NORMAS SOBRE PATRIMONIO CULTURAL, FOMENTOS Y ESTÍMULOS A LA CULTURA, SE CREA EL MINISTERIO DE LA CULTURA Y SE TRASLADAN ALGUNAS DEPENDENCIAS",TRUE,9999,9999,9999,3,TRUE,1997-08-07
